abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,generation,height_m,hp,is_legendary,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg
"['Overgrow', 'Chlorophyll']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,49,5120,70,318,45,Seed PokÃ©mon,49,1059860,1,0.7,45,0,Fushigidaneãƒ•ã‚·ã‚®ãƒ€ãƒ,Bulbasaur,88.1,1,65,65,45,grass,poison,6.9
"['Overgrow', 'Chlorophyll']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,62,5120,70,405,45,Seed PokÃ©mon,63,1059860,1,1,60,0,Fushigisouãƒ•ã‚·ã‚®ã‚½ã‚¦,Ivysaur,88.1,2,80,80,60,grass,poison,13
"['Overgrow', 'Chlorophyll']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,82,5120,70,525,45,Seed PokÃ©mon,83,1059860,1,2,80,0,Fushigibanaãƒ•ã‚·ã‚®ãƒãƒŠ,Venusaur,88.1,3,100,100,80,grass,poison,100
"['Blaze', 'Solar Power']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,52,5120,70,309,45,Lizard PokÃ©mon,43,1059860,1,0.6,39,0,Hitokageãƒ’ãƒˆã‚«ã‚²,Charmander,88.1,4,60,50,65,fire,,8.5
"['Blaze', 'Solar Power']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,64,5120,70,405,45,Flame PokÃ©mon,58,1059860,1,1.1,58,0,Lizardoãƒªã‚¶ãƒ¼ãƒ‰,Charmeleon,88.1,5,80,65,80,fire,,19
"['Blaze', 'Solar Power']",0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,84,5120,70,534,45,Flame PokÃ©mon,78,1059860,1,1.7,78,0,Lizardonãƒªã‚¶ãƒ¼ãƒ‰ãƒ³,Charizard,88.1,6,109,85,100,fire,flying,90.5
"['Torrent', 'Rain Dish']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,48,5120,70,314,45,Tiny Turtle PokÃ©mon,65,1059860,1,0.5,44,0,Zenigameã‚¼ãƒ‹ã‚¬ãƒ¡,Squirtle,88.1,7,50,64,43,water,,9
"['Torrent', 'Rain Dish']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,63,5120,70,405,45,Turtle PokÃ©mon,80,1059860,1,1,59,0,Kameilã‚«ãƒ¡ãƒ¼ãƒ«,Wartortle,88.1,8,65,80,58,water,,22.5
"['Torrent', 'Rain Dish']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,83,5120,70,530,45,Shellfish PokÃ©mon,100,1059860,1,1.6,79,0,Kamexã‚«ãƒ¡ãƒƒã‚¯ã‚¹,Blastoise,88.1,9,85,105,78,water,,85.5
"['Shield Dust', 'Run Away']",1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,30,3840,70,195,255,Worm PokÃ©mon,35,1000000,1,0.3,45,0,Caterpieã‚­ãƒ£ã‚¿ãƒ”ãƒ¼,Caterpie,50,10,20,20,45,bug,,2.9
